Time,RMS,Temp,SpeedPct,Friction,HealthPct
07:07:26.288,107,30,100,0.9094814658164978,100.0
07:07:27.033,101,30,100,0.8899379968643188,100.0
07:07:27.642,104,30,100,0.8811981678009033,100.0
07:07:28.420,105,30,100,0.8931159973144531,100.0
07:07:29.000,101,30,100,1.012930989265442,100.0
07:07:29.819,107,30,100,1.0797655582427979,100.0
07:07:30.524,101,30,100,1.1247156858444214,100.0
07:07:31.154,104,30,100,1.1288235187530518,100.0
07:07:31.770,105,30,100,1.0005545616149902,100.0
07:07:32.458,101,30,100,0.938744306564331,100.0
07:07:33.068,107,30,100,0.8809743523597717,100.0
07:07:33.776,101,30,100,0.8286705017089844,100.0
07:07:34.430,104,30,100,0.7955266833305359,100.0
07:07:35.118,105,30,100,0.7564322352409363,100.0
07:07:35.815,101,30,100,0.7261233329772949,100.0
07:07:36.450,107,30,100,0.6836356520652771,100.0
07:07:37.488,101,30,100,0.6607417464256287,100.0
07:07:37.930,104,30,100,0.6536863446235657,100.0
07:07:38.527,105,30,100,0.660344123840332,100.0
07:07:39.190,101,30,100,0.6646159291267395,100.0
07:07:39.886,107,30,100,0.6704639792442322,100.0
07:07:40.576,101,30,100,0.6551932096481323,100.0
07:07:41.245,104,30,100,0.6444047093391418,100.0
07:07:41.899,105,30,100,0.6430196762084961,100.0
07:07:42.585,101,30,100,0.6583483219146729,100.0
07:07:43.257,107,30,100,0.6785603165626526,100.0
07:07:43.936,101,30,100,0.6972299218177795,100.0
07:07:44.645,104,30,100,0.6660258769989014,100.0
07:07:45.357,105,30,100,0.6572415232658386,100.0
07:07:46.027,101,30,100,0.6243393421173096,100.0
07:07:46.716,107,30,100,0.6048335433006287,100.0
07:07:47.383,101,30,100,0.6099222302436829,100.0
07:07:48.041,104,30,100,0.633819043636322,100.0
07:07:48.776,105,30,100,0.6448806524276733,100.0
07:07:49.469,101,30,100,0.6421666145324707,100.0
07:07:50.185,107,30,100,0.6115511059761047,100.0
07:07:50.797,101,30,100,0.5996981859207153,100.0
07:07:51.478,104,30,100,0.602636456489563,100.0
07:07:52.152,105,30,100,0.6272671222686768,100.0
07:07:52.846,101,30,100,0.6495411992073059,100.0
07:07:53.530,107,30,100,0.6635723114013672,100.0
