Time_Elapsed,Temperature,RMS_Current,PWM,Live_Damping,Health_Score,Status
2.86,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.86,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.86,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.86,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.86,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.86,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.86,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.86,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.86,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.86,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.87,86,0,0,0.9570,0.0,CRITICAL_ESTOP
2.87,79,204,128,0.9605,6.3,Warning_Throttled
2.87,71,93,128,0.9645,12.5,Warning_Throttled
2.87,53,250,128,0.9735,20.4,Warning_Throttled
2.87,41,222,128,0.9795,29.0,Warning_Throttled
2.87,38,138,255,0.9810,36.7,Healthy
2.87,30,118,255,0.9850,44.8,Healthy
2.87,23,59,255,0.9885,52.0,Healthy
2.87,25,143,255,0.9875,58.3,Healthy
2.87,25,15,255,0.9875,63.3,Healthy
2.87,25,15,255,0.9875,67.6,Healthy
2.87,25,15,255,0.9875,71.3,Healthy
2.87,25,15,255,0.9875,74.4,Healthy
2.87,25,15,255,0.9875,77.1,Healthy
2.87,25,15,255,0.9875,79.3,Healthy
2.87,25,15,255,0.9875,81.2,Healthy
2.87,25,15,255,0.9875,82.9,Healthy
2.87,25,15,255,0.9875,84.2,Healthy
3.86,25,15,255,0.9875,85.4,Healthy
4.86,25,15,255,0.9875,86.4,Healthy
5.86,25,15,255,0.9875,87.3,Healthy
6.93,25,15,255,0.9875,88.0,Healthy
7.95,25,15,255,0.9875,88.6,Healthy
8.95,25,15,255,0.9875,89.1,Healthy
9.96,25,15,255,0.9875,89.6,Healthy
10.96,25,15,255,0.9875,89.9,Healthy
11.92,25,15,255,0.9875,90.3,Healthy
